City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
303,Bilma,NE,18.6853,12.9164,99.77,14,70,19.28,broken clouds
304,Barcelona,ES,41.3888,2.159,84.54,69,20,5.75,few clouds
305,Sao Filipe,CV,14.8961,-24.4956,78.35,87,68,8.79,broken clouds
306,Sosnovka,RU,56.255,51.2842,60.64,95,73,4.72,broken clouds
307,Antofagasta,CL,-23.65,-70.4,56.48,77,21,4.81,few clouds
308,Octeville,FR,49.6261,-1.6435,68.49,73,0,9.22,clear sky
309,Avera,US,33.194,-82.5271,89.11,39,94,4.74,overcast clouds
310,Rayagada,IN,19.1667,83.4167,75.11,96,100,2.53,overcast clouds
311,Ballina,AU,-28.8667,153.5667,55.02,92,100,4.99,overcast clouds
312,Corinto,GR,37.9407,22.9573,77.9,44,2,2.89,clear sky
313,Candolim,IN,15.5181,73.7626,78.8,89,100,13.8,overcast clouds
314,Mana,GF,5.6592,-53.7767,79.5,85,58,9.28,broken clouds
315,Haines Junction,CA,60.7522,-137.5108,45.55,93,100,2.1,light rain
316,Caravelas,BR,-17.7125,-39.2481,74.25,74,12,15.26,few clouds
317,Bocanda,CI,7.0626,-4.4995,72.3,95,49,6.93,scattered clouds
318,Itarema,BR,-2.9248,-39.9167,77.34,79,5,16.49,clear sky
319,New Norfolk,AU,-42.7826,147.0587,40.91,80,31,1.97,scattered clouds
320,Aksarka,RU,66.5606,67.7975,47.57,74,35,4.99,scattered clouds
321,Barra Do Garcas,BR,-15.89,-52.2567,74.03,16,100,8.39,overcast clouds
322,Nanakuli,US,21.3906,-158.1547,89.55,54,20,11.5,few clouds
323,Lagoa Vermelha,BR,-28.2086,-51.5258,44.96,96,55,7.0,broken clouds
324,Simpang,ID,-1.2667,104.0833,74.01,98,99,3.11,overcast clouds
325,Fortuna,US,40.5982,-124.1573,75.09,68,20,16.11,few clouds
326,Ontario,US,34.0633,-117.6509,103.01,31,20,18.41,few clouds
327,Acarau,BR,-2.8856,-40.12,77.5,78,5,17.56,clear sky
328,Chokurdakh,RU,70.6333,147.9167,64.22,52,68,11.34,broken clouds
329,Havre-Saint-Pierre,CA,50.2334,-63.5986,62.47,78,3,8.39,clear sky
330,Melchor De Mencos,GT,17.0686,-89.1522,73.4,100,75,4.61,broken clouds
331,Veraval,IN,20.9,70.3667,80.42,91,100,21.47,overcast clouds
332,Savannah Bight,HN,16.45,-85.85,82.56,80,99,20.15,overcast clouds
